calldate,oa_p2a,momt,opr,sms_count,idr
2026-02-26,MYXL,MO,TLG,22080,5221023.0
2026-02-26,MYXL,MT,TLG,49435,10901733.0
2026-02-26,GOJEK,MO,TLG,42693,9434470.0
2026-02-26,GOJEK,MT,TLG,40738,7796722.0
2026-02-26,SHOPEE,MO,TLI,78869,14214704.0
2026-02-26,SHOPEE,MT,TLI,19297,3616674.0
2026-02-26,INDOSAT_MKT,MO,TLI,10963,2497142.0
2026-02-26,INDOSAT_MKT,MT,TLI,21187,4118274.0
2026-02-26,OVO,MO,TLI,7618,1751397.0
2026-02-26,OVO,MT,TLI,60800,10056793.0
2026-02-26,DANA,MO,TLI,51085,12381148.0
2026-02-26,DANA,MT,TLI,78945,14291877.0
2026-02-26,GOJEK,MO,TLI,46798,7690292.0
2026-02-26,GOJEK,MT,TLI,20476,4754811.0
2026-02-26,TOKOPEDIA,MO,TLI,62926,13697211.0
2026-02-26,TOKOPEDIA,MT,TLI,23946,4083241.0
2026-02-26,OVO,MO,TSV,5202,942072.0
2026-02-26,OVO,MT,TSV,12622,2760497.0
2026-02-26,DANA,MO,TSV,19683,3608464.0
2026-02-26,DANA,MT,TSV,10200,1635165.0
2026-02-26,TOKOPEDIA,MO,TSV,43431,6612284.0
2026-02-26,TOKOPEDIA,MT,TSV,49859,10664096.0
2026-02-27,INDOSAT_MKT,MO,GAH,39663,8060616.0
2026-02-27,INDOSAT_MKT,MT,GAH,62531,13576256.0
2026-02-27,SHOPEE,MO,GAH,40840,6735826.0
2026-02-27,SHOPEE,MT,GAH,33021,5331110.0
2026-02-27,GRAB,MO,GAH,78242,15758413.0
2026-02-27,GRAB,MT,GAH,29863,6099603.0
2026-02-27,GOJEK,MO,GAH,73208,13312764.0
2026-02-27,GOJEK,MT,GAH,26954,6585611.0
2026-02-27,LAZADA,MO,INS,43191,8813457.0
2026-02-27,LAZADA,MT,INS,12595,2053078.0
2026-02-27,SHOPEE,MO,INS,64839,15582708.0
2026-02-27,SHOPEE,MT,INS,11288,1812770.0
2026-02-27,GOJEK,MO,INS,13003,2062431.0
2026-02-27,GOJEK,MT,INS,58285,9785952.0
2026-02-27,BANK_BCA,MO,INS,67055,14190952.0
2026-02-27,BANK_BCA,MT,INS,50401,9235137.0
2026-02-27,OVO,MO,INS,29944,6626304.0
2026-02-27,OVO,MT,INS,70336,11102858.0
2026-02-27,LAZADA,MO,MVN,15822,3094125.0
2026-02-27,LAZADA,MT,MVN,60552,11932049.0
2026-02-27,GOJEK,MO,MVN,44458,7307658.0
2026-02-27,GOJEK,MT,MVN,43655,10533347.0
2026-02-27,TOKOPEDIA,MO,MVN,48771,8209881.0
2026-02-27,TOKOPEDIA,MT,MVN,41909,9592043.0
2026-02-27,DANA,MO,MVN,49859,9738874.0
2026-02-27,DANA,MT,MVN,9456,1480209.0
2026-02-27,INDOSAT_MKT,MO,MVN,20882,3866179.0
2026-02-27,INDOSAT_MKT,MT,MVN,63786,14962705.0
2026-02-27,SHOPEE,MO,MVN,41469,9404927.0
2026-02-27,SHOPEE,MT,MVN,22408,4499414.0
2026-02-27,TOKOPEDIA,MO,TLG,65981,12541777.0
2026-02-27,TOKOPEDIA,MT,TLG,46053,8006661.0
2026-02-27,INDOSAT_MKT,MO,TLG,36092,7391458.0
2026-02-27,INDOSAT_MKT,MT,TLG,62416,11758029.0
2026-02-27,LAZADA,MO,TLG,50528,8631386.0
2026-02-27,LAZADA,MT,TLG,79873,18245501.0
2026-02-27,DANA,MO,TLG,64342,13300850.0
2026-02-27,DANA,MT,TLG,48288,9872611.0
2026-02-27,GOJEK,MO,TLG,39267,6569705.0
2026-02-27,GOJEK,MT,TLG,15943,3570223.0
2026-02-27,MYXL,MO,TLG,71672,11570175.0
2026-02-27,MYXL,MT,TLG,69659,12715401.0
2026-02-27,OVO,MO,TLI,70154,11011425.0
2026-02-27,OVO,MT,TLI,17075,3731756.0
2026-02-27,GOJEK,MO,TLI,57253,10462460.0
2026-02-27,GOJEK,MT,TLI,11848,1884464.0
2026-02-27,MYXL,MO,TLI,24497,5848075.0
2026-02-27,MYXL,MT,TLI,4562,1029679.0
2026-02-27,OVO,MO,TSV,60955,10335936.0
2026-02-27,OVO,MT,TSV,45124,8121126.0
2026-02-27,GRAB,MO,TSV,49300,11923213.0
2026-02-27,GRAB,MT,TSV,67672,15008237.0
2026-02-27,MYXL,MO,TSV,43879,10927140.0
2026-02-27,MYXL,MT,TSV,6097,1287376.0
2026-02-27,SHOPEE,MO,TSV,66799,12719848.0
2026-02-27,SHOPEE,MT,TSV,18984,4465996.0
2026-02-28,INDOSAT_MKT,MO,GAH,2499,550618.0
2026-02-28,INDOSAT_MKT,MT,GAH,25239,4062718.0
2026-02-28,GRAB,MO,GAH,26089,6171822.0
2026-02-28,GRAB,MT,GAH,18692,3610763.0
2026-02-28,BANK_BCA,MO,GAH,24434,5192749.0
2026-02-28,BANK_BCA,MT,GAH,26028,4961022.0
2026-02-28,GRAB,MO,INS,42873,8079824.0
2026-02-28,GRAB,MT,INS,31564,7385858.0
2026-02-28,SHOPEE,MO,INS,10610,1897568.0
2026-02-28,SHOPEE,MT,INS,8710,1423456.0
2026-02-28,GOJEK,MO,INS,8548,1836443.0
2026-02-28,GOJEK,MT,INS,12401,2754683.0
2026-02-28,LAZADA,MO,INS,31409,6777832.0
2026-02-28,LAZADA,MT,INS,12007,1902705.0
2026-02-28,TOKOPEDIA,MO,INS,21911,5171331.0
2026-02-28,TOKOPEDIA,MT,INS,30408,6456374.0
2026-02-28,INDOSAT_MKT,MO,INS,33337,6698787.0
2026-02-28,INDOSAT_MKT,MT,INS,42253,9802998.0
2026-02-28,INDOSAT_MKT,MO,MVN,31583,7411911.0
2026-02-28,INDOSAT_MKT,MT,MVN,18169,4019219.0
2026-02-28,SHOPEE,MO,MVN,18281,3493203.0
2026-02-28,SHOPEE,MT,MVN,39271,8154043.0
2026-02-28,GOJEK,MO,MVN,4272,1058701.0
2026-02-28,GOJEK,MT,MVN,38112,7558632.0
2026-02-28,GRAB,MO,MVN,24000,3871594.0
2026-02-28,GRAB,MT,MVN,36275,8929954.0
2026-02-28,MYXL,MO,MVN,8412,1381324.0
2026-02-28,MYXL,MT,MVN,36130,8973171.0
2026-02-28,BANK_BCA,MO,MVN,20891,4104948.0
2026-02-28,BANK_BCA,MT,MVN,6522,1319633.0
2026-02-28,TOKOPEDIA,MO,TLG,5779,1389032.0
2026-02-28,TOKOPEDIA,MT,TLG,37374,8515767.0
2026-02-28,SHOPEE,MO,TLG,41935,8194245.0
2026-02-28,SHOPEE,MT,TLG,29554,6129397.0
2026-02-28,OVO,MO,TLG,27773,5335238.0
2026-02-28,OVO,MT,TLG,23981,4290701.0
2026-02-28,INDOSAT_MKT,MO,TLG,4950,1086550.0
2026-02-28,INDOSAT_MKT,MT,TLG,26371,5872747.0
2026-02-28,DANA,MO,TLG,40910,7201973.0
2026-02-28,DANA,MT,TLG,34813,7234633.0
2026-02-28,BANK_BCA,MO,TLG,5851,1261663.0
2026-02-28,BANK_BCA,MT,TLG,24265,5602536.0
2026-02-28,GOJEK,MO,TLG,4759,850346.0
2026-02-28,GOJEK,MT,TLG,7412,1205800.0
2026-02-28,MYXL,MO,TLI,18154,3222729.0
2026-02-28,MYXL,MT,TLI,18946,2868809.0
2026-02-28,LAZADA,MO,TLI,9025,1898699.0
2026-02-28,LAZADA,MT,TLI,12325,2661159.0
2026-02-28,GOJEK,MO,TLI,30041,6932984.0
2026-02-28,GOJEK,MT,TLI,18723,4273577.0
2026-02-28,OVO,MO,TSV,7996,1972890.0
2026-02-28,OVO,MT,TSV,12675,2962926.0
2026-02-28,GOJEK,MO,TSV,32070,7281069.0
2026-02-28,GOJEK,MT,TSV,14028,3030984.0
2026-02-28,BANK_BCA,MO,TSV,12646,2163549.0
2026-02-28,BANK_BCA,MT,TSV,25645,3986068.0
2026-02-28,GRAB,MO,TSV,22206,5008528.0
2026-02-28,GRAB,MT,TSV,9604,1491043.0
2026-03-01,DANA,MO,GAH,14470,2720072.0
2026-03-01,DANA,MT,GAH,29802,5884672.0
2026-03-01,OVO,MO,GAH,11249,2284044.0
2026-03-01,OVO,MT,GAH,27303,4127840.0
2026-03-01,MYXL,MO,GAH,29920,5630956.0
2026-03-01,MYXL,MT,GAH,22760,5602972.0
2026-03-01,SHOPEE,MO,GAH,4874,778555.0
2026-03-01,SHOPEE,MT,GAH,29087,6217126.0
2026-03-01,INDOSAT_MKT,MO,GAH,33560,7082790.0
2026-03-01,INDOSAT_MKT,MT,GAH,22960,4213085.0
2026-03-01,GRAB,MO,GAH,21306,4905315.0
2026-03-01,GRAB,MT,GAH,17045,3672078.0
2026-03-01,OVO,MO,INS,22565,4620438.0
2026-03-01,OVO,MT,INS,3053,711865.0
2026-03-01,SHOPEE,MO,INS,3480,665115.0
2026-03-01,SHOPEE,MT,INS,39391,6317951.0
2026-03-01,GRAB,MO,INS,29395,5442533.0
2026-03-01,GRAB,MT,INS,21238,3720677.0
2026-03-01,MYXL,MO,INS,4946,753622.0
2026-03-01,MYXL,MT,INS,9766,1520451.0
2026-03-01,GOJEK,MO,INS,17886,4382945.0
2026-03-01,GOJEK,MT,INS,11308,2496891.0
2026-03-01,TOKOPEDIA,MO,INS,10449,1657615.0
2026-03-01,TOKOPEDIA,MT,INS,12566,2357329.0
2026-03-01,GOJEK,MO,MVN,33536,8124751.0
2026-03-01,GOJEK,MT,MVN,18838,4275019.0
2026-03-01,TOKOPEDIA,MO,MVN,27019,4748148.0
2026-03-01,TOKOPEDIA,MT,MVN,7861,1397126.0
2026-03-01,LAZADA,MO,MVN,6296,1185410.0
2026-03-01,LAZADA,MT,MVN,23135,5774400.0
2026-03-01,OVO,MO,MVN,19999,4910966.0
2026-03-01,OVO,MT,MVN,20764,3484053.0
2026-03-01,DANA,MO,MVN,7187,1431450.0
2026-03-01,DANA,MT,MVN,16138,3405605.0
2026-03-01,SHOPEE,MO,MVN,16606,3562789.0
2026-03-01,SHOPEE,MT,MVN,10635,1748259.0
2026-03-01,BANK_BCA,MO,MVN,31348,5386798.0
2026-03-01,BANK_BCA,MT,MVN,10353,2497774.0
2026-03-01,TOKOPEDIA,MO,TLG,16969,3864244.0
2026-03-01,TOKOPEDIA,MT,TLG,3877,929128.0
2026-03-01,BANK_BCA,MO,TLG,14472,3115627.0
2026-03-01,BANK_BCA,MT,TLG,2500,608223.0
2026-03-01,LAZADA,MO,TLG,25709,4541332.0
2026-03-01,LAZADA,MT,TLG,22542,5420489.0
2026-03-01,GRAB,MO,TLG,2443,492358.0
2026-03-01,GRAB,MT,TLG,31937,6317584.0
2026-03-01,MYXL,MO,TLG,27897,6539194.0
2026-03-01,MYXL,MT,TLG,6096,1243662.0
2026-03-01,DANA,MO,TLI,39736,8087484.0
2026-03-01,DANA,MT,TLI,28369,5201285.0
2026-03-01,OVO,MO,TLI,20317,3861479.0
2026-03-01,OVO,MT,TLI,9724,1813872.0
2026-03-01,TOKOPEDIA,MO,TLI,26052,4117406.0
2026-03-01,TOKOPEDIA,MT,TLI,35984,8134014.0
2026-03-01,SHOPEE,MO,TSV,14029,2523635.0
2026-03-01,SHOPEE,MT,TSV,30463,7300338.0
2026-03-01,GOJEK,MO,TSV,23200,4608688.0
2026-03-01,GOJEK,MT,TSV,33981,7595855.0
2026-03-01,BANK_BCA,MO,TSV,11871,1823027.0
2026-03-01,BANK_BCA,MT,TSV,4392,974909.0
2026-03-01,LAZADA,MO,TSV,15997,3182175.0
2026-03-01,LAZADA,MT,TSV,6034,1383439.0
2026-03-01,INDOSAT_MKT,MO,TSV,24020,4803241.0
2026-03-01,INDOSAT_MKT,MT,TSV,28915,7132099.0
2026-03-02,BANK_BCA,MO,GAH,51546,11792583.0
2026-03-02,BANK_BCA,MT,GAH,9160,1745445.0
2026-03-02,INDOSAT_MKT,MO,GAH,35522,8195294.0
2026-03-02,INDOSAT_MKT,MT,GAH,64498,12631097.0
2026-03-02,LAZADA,MO,GAH,79488,13107203.0
2026-03-02,LAZADA,MT,GAH,37760,9156105.0
2026-03-02,GOJEK,MO,INS,62111,14951229.0
2026-03-02,GOJEK,MT,INS,11643,2029005.0
2026-03-02,OVO,MO,INS,22684,3435186.0
2026-03-02,OVO,MT,INS,10925,2627094.0
2026-03-02,BANK_BCA,MO,INS,15961,3122266.0
2026-03-02,BANK_BCA,MT,INS,21999,5137541.0
2026-03-02,TOKOPEDIA,MO,MVN,35095,5485735.0
2026-03-02,TOKOPEDIA,MT,MVN,26621,5127768.0
2026-03-02,LAZADA,MO,MVN,58242,10624709.0
2026-03-02,LAZADA,MT,MVN,74533,12203507.0
2026-03-02,OVO,MO,MVN,35185,7966686.0
2026-03-02,OVO,MT,MVN,26896,4936771.0
2026-03-02,MYXL,MO,TLG,26135,5740019.0
2026-03-02,MYXL,MT,TLG,83210,13854516.0
2026-03-02,GOJEK,MO,TLG,38171,9259046.0
2026-03-02,GOJEK,MT,TLG,10660,1741173.0
2026-03-02,DANA,MO,TLG,56848,12948051.0
2026-03-02,DANA,MT,TLG,5965,1419447.0
2026-03-02,BANK_BCA,MO,TLI,17945,3959997.0
2026-03-02,BANK_BCA,MT,TLI,44772,8579310.0
2026-03-02,LAZADA,MO,TLI,60539,13272318.0
2026-03-02,LAZADA,MT,TLI,31239,5132842.0
2026-03-02,GOJEK,MO,TLI,40353,8163762.0
2026-03-02,GOJEK,MT,TLI,58211,10124370.0
2026-03-02,LAZADA,MO,TSV,72875,15391563.0
2026-03-02,LAZADA,MT,TSV,18904,4021243.0
2026-03-02,BANK_BCA,MO,TSV,49289,9107885.0
2026-03-02,BANK_BCA,MT,TSV,4864,1000870.0
2026-03-02,GOJEK,MO,TSV,32028,5180554.0
2026-03-02,GOJEK,MT,TSV,84393,20902386.0
2026-03-02,INDOSAT_MKT,MO,TSV,54463,12868142.0
2026-03-02,INDOSAT_MKT,MT,TSV,84005,16864346.0
2026-03-03,SHOPEE,MO,GAH,80700,16119945.0
2026-03-03,SHOPEE,MT,GAH,28595,6205523.0
2026-03-03,MYXL,MO,GAH,10916,1696377.0
2026-03-03,MYXL,MT,GAH,58246,10397287.0
2026-03-03,BANK_BCA,MO,GAH,62870,11010937.0
2026-03-03,BANK_BCA,MT,GAH,64547,9961651.0
2026-03-03,TOKOPEDIA,MO,GAH,11457,2778164.0
2026-03-03,TOKOPEDIA,MT,GAH,32438,5378368.0
2026-03-03,OVO,MO,GAH,8088,1605518.0
2026-03-03,OVO,MT,GAH,23309,3661516.0
2026-03-03,DANA,MO,GAH,37632,8359584.0
2026-03-03,DANA,MT,GAH,41046,7876999.0
2026-03-03,SHOPEE,MO,INS,37405,8370296.0
2026-03-03,SHOPEE,MT,INS,24654,4623938.0
2026-03-03,TOKOPEDIA,MO,INS,36043,5671473.0
2026-03-03,TOKOPEDIA,MT,INS,74555,11588377.0
2026-03-03,INDOSAT_MKT,MO,INS,58448,9614353.0
2026-03-03,INDOSAT_MKT,MT,INS,65434,10980223.0
2026-03-03,GRAB,MO,INS,64496,10554155.0
2026-03-03,GRAB,MT,INS,28908,6163247.0
2026-03-03,BANK_BCA,MO,INS,36076,6140896.0
2026-03-03,BANK_BCA,MT,INS,24884,3812464.0
2026-03-03,BANK_BCA,MO,MVN,32824,7419339.0
2026-03-03,BANK_BCA,MT,MVN,33828,8072744.0
2026-03-03,MYXL,MO,MVN,28134,6441411.0
2026-03-03,MYXL,MT,MVN,30931,6427837.0
2026-03-03,GOJEK,MO,MVN,71699,16885143.0
2026-03-03,GOJEK,MT,MVN,15541,2970967.0
2026-03-03,LAZADA,MO,MVN,82422,16395495.0
2026-03-03,LAZADA,MT,MVN,38991,8155283.0
2026-03-03,SHOPEE,MO,MVN,69350,12338550.0
2026-03-03,SHOPEE,MT,MVN,55736,12463566.0
2026-03-03,INDOSAT_MKT,MO,MVN,44746,7820847.0
2026-03-03,INDOSAT_MKT,MT,MVN,58629,12191707.0
2026-03-03,GRAB,MO,MVN,23703,5721323.0
2026-03-03,GRAB,MT,MVN,5858,1123431.0
2026-03-03,BANK_BCA,MO,TLG,70245,14267615.0
2026-03-03,BANK_BCA,MT,TLG,73609,17001592.0
2026-03-03,OVO,MO,TLG,18584,3628417.0
2026-03-03,OVO,MT,TLG,38216,6049943.0
2026-03-03,LAZADA,MO,TLG,6656,1459767.0
2026-03-03,LAZADA,MT,TLG,61549,15079098.0
2026-03-03,INDOSAT_MKT,MO,TLI,12619,1912952.0
2026-03-03,INDOSAT_MKT,MT,TLI,43621,7248950.0
2026-03-03,MYXL,MO,TLI,66772,15744318.0
2026-03-03,MYXL,MT,TLI,7255,1796643.0
2026-03-03,SHOPEE,MO,TLI,68327,15522767.0
2026-03-03,SHOPEE,MT,TLI,56942,9594418.0
2026-03-03,LAZADA,MO,TLI,62951,13388488.0
2026-03-03,LAZADA,MT,TLI,5992,1414341.0
2026-03-03,DANA,MO,TSV,41830,8056049.0
2026-03-03,DANA,MT,TSV,39752,8737708.0
2026-03-03,INDOSAT_MKT,MO,TSV,75535,15675245.0
2026-03-03,INDOSAT_MKT,MT,TSV,30698,7022756.0
2026-03-03,BANK_BCA,MO,TSV,15915,3374704.0
2026-03-03,BANK_BCA,MT,TSV,45284,10124419.0
2026-03-04,GRAB,MO,GAH,17334,3263914.0
2026-03-04,GRAB,MT,GAH,70103,14855761.0
2026-03-04,INDOSAT_MKT,MO,GAH,56247,10498126.0
2026-03-04,INDOSAT_MKT,MT,GAH,71947,15863405.0
2026-03-04,BANK_BCA,MO,GAH,85527,18895798.0
2026-03-04,BANK_BCA,MT,GAH,29821,4885890.0
2026-03-04,SHOPEE,MO,INS,33320,7507574.0
2026-03-04,SHOPEE,MT,INS,37382,6805258.0
2026-03-04,GRAB,MO,INS,39908,7995831.0
2026-03-04,GRAB,MT,INS,63182,11228360.0
2026-03-04,TOKOPEDIA,MO,INS,12617,2362929.0
2026-03-04,TOKOPEDIA,MT,INS,63034,12519983.0
2026-03-04,INDOSAT_MKT,MO,INS,72508,16891172.0
2026-03-04,INDOSAT_MKT,MT,INS,61650,13623573.0
2026-03-04,LAZADA,MO,INS,73518,17640285.0
2026-03-04,LAZADA,MT,INS,54292,11515069.0
2026-03-04,SHOPEE,MO,MVN,14746,2788000.0
2026-03-04,SHOPEE,MT,MVN,27626,4940558.0
2026-03-04,OVO,MO,MVN,14698,2365445.0
2026-03-04,OVO,MT,MVN,40173,6475986.0
2026-03-04,TOKOPEDIA,MO,MVN,24241,4839300.0
2026-03-04,TOKOPEDIA,MT,MVN,33295,6727879.0
2026-03-04,MYXL,MO,TLG,72984,13477957.0
2026-03-04,MYXL,MT,TLG,59071,13218372.0
2026-03-04,DANA,MO,TLG,6874,1231489.0
2026-03-04,DANA,MT,TLG,11869,1806505.0
2026-03-04,GOJEK,MO,TLG,33723,7874144.0
2026-03-04,GOJEK,MT,TLG,70534,15127230.0
2026-03-04,LAZADA,MO,TLI,70967,13804900.0
2026-03-04,LAZADA,MT,TLI,39042,8070964.0
2026-03-04,INDOSAT_MKT,MO,TLI,43111,7207026.0
2026-03-04,INDOSAT_MKT,MT,TLI,39787,6870347.0
2026-03-04,GRAB,MO,TLI,56942,14068797.0
2026-03-04,GRAB,MT,TLI,10577,1743447.0
2026-03-04,SHOPEE,MO,TLI,40528,7926979.0
2026-03-04,SHOPEE,MT,TLI,24320,5152509.0
2026-03-04,MYXL,MO,TLI,25993,5749163.0
2026-03-04,MYXL,MT,TLI,38790,6525566.0
2026-03-04,OVO,MO,TLI,29587,6921381.0
2026-03-04,OVO,MT,TLI,20631,3427335.0
2026-03-04,BANK_BCA,MO,TSV,60529,10655569.0
2026-03-04,BANK_BCA,MT,TSV,30060,5125697.0
2026-03-04,INDOSAT_MKT,MO,TSV,9721,2105134.0
2026-03-04,INDOSAT_MKT,MT,TSV,63551,10472850.0
2026-03-04,GOJEK,MO,TSV,66006,13464343.0
2026-03-04,GOJEK,MT,TSV,23669,4813430.0
2026-03-05,BANK_BCA,MO,GAH,23825,5831857.0
2026-03-05,BANK_BCA,MT,GAH,38627,6396837.0
2026-03-05,DANA,MO,GAH,75966,18806151.0
2026-03-05,DANA,MT,GAH,44387,9530972.0
2026-03-05,OVO,MO,GAH,47742,9423844.0
2026-03-05,OVO,MT,GAH,40625,10032773.0
2026-03-05,GOJEK,MO,INS,23002,5009855.0
2026-03-05,GOJEK,MT,INS,19027,3440238.0
2026-03-05,OVO,MO,INS,67665,14328213.0
2026-03-05,OVO,MT,INS,32794,6381623.0
2026-03-05,INDOSAT_MKT,MO,INS,20258,3699853.0
2026-03-05,INDOSAT_MKT,MT,INS,33067,6889283.0
2026-03-05,GRAB,MO,INS,35760,8157869.0
2026-03-05,GRAB,MT,INS,42955,7283947.0
2026-03-05,BANK_BCA,MO,INS,16584,3380503.0
2026-03-05,BANK_BCA,MT,INS,51168,11139598.0
2026-03-05,SHOPEE,MO,INS,15993,3959610.0
2026-03-05,SHOPEE,MT,INS,61488,10418834.0
2026-03-05,DANA,MO,INS,46420,9762924.0
2026-03-05,DANA,MT,INS,61925,15130768.0
2026-03-05,DANA,MO,MVN,53584,8102923.0
2026-03-05,DANA,MT,MVN,58765,10879488.0
2026-03-05,GOJEK,MO,MVN,71307,16930433.0
2026-03-05,GOJEK,MT,MVN,16378,2809966.0
2026-03-05,LAZADA,MO,MVN,69239,15520113.0
2026-03-05,LAZADA,MT,MVN,57294,13198736.0
2026-03-05,GRAB,MO,MVN,35533,5911946.0
2026-03-05,GRAB,MT,MVN,54954,12247079.0
2026-03-05,SHOPEE,MO,MVN,68555,11240056.0
2026-03-05,SHOPEE,MT,MVN,15835,2602703.0
2026-03-05,OVO,MO,TLG,52932,8407974.0
2026-03-05,OVO,MT,TLG,56908,12171517.0
2026-03-05,GRAB,MO,TLG,48598,9304155.0
2026-03-05,GRAB,MT,TLG,90509,17758952.0
2026-03-05,INDOSAT_MKT,MO,TLG,97062,21889847.0
2026-03-05,INDOSAT_MKT,MT,TLG,22582,3837263.0
2026-03-05,BANK_BCA,MO,TLG,56666,10140172.0
2026-03-05,BANK_BCA,MT,TLG,58791,9066942.0
2026-03-05,MYXL,MO,TLG,51166,11945139.0
2026-03-05,MYXL,MT,TLG,39598,7896239.0
2026-03-05,SHOPEE,MO,TLI,68387,11107259.0
2026-03-05,SHOPEE,MT,TLI,38020,7289030.0
2026-03-05,BANK_BCA,MO,TLI,65381,15735855.0
2026-03-05,BANK_BCA,MT,TLI,33974,5192731.0
2026-03-05,GRAB,MO,TLI,38822,7737420.0
2026-03-05,GRAB,MT,TLI,13003,2729188.0
2026-03-05,TOKOPEDIA,MO,TLI,49542,10310016.0
2026-03-05,TOKOPEDIA,MT,TLI,85724,16596754.0
2026-03-05,GOJEK,MO,TLI,34516,7344991.0
2026-03-05,GOJEK,MT,TLI,68881,17042942.0
2026-03-05,INDOSAT_MKT,MO,TLI,23192,4344331.0
2026-03-05,INDOSAT_MKT,MT,TLI,6924,1623872.0
2026-03-05,LAZADA,MO,TSV,60731,14443759.0
2026-03-05,LAZADA,MT,TSV,22234,4129711.0
2026-03-05,BANK_BCA,MO,TSV,13339,2364565.0
2026-03-05,BANK_BCA,MT,TSV,61150,13063151.0
2026-03-05,GOJEK,MO,TSV,48914,7575384.0
2026-03-05,GOJEK,MT,TSV,45319,9198000.0
2026-03-05,OVO,MO,TSV,13407,2699991.0
2026-03-05,OVO,MT,TSV,30995,7019405.0
2026-03-06,GOJEK,MO,GAH,54661,8722985.0
2026-03-06,GOJEK,MT,GAH,49515,11503893.0
2026-03-06,GRAB,MO,GAH,6128,1003123.0
2026-03-06,GRAB,MT,GAH,38171,7149482.0
2026-03-06,INDOSAT_MKT,MO,GAH,72222,13808807.0
2026-03-06,INDOSAT_MKT,MT,GAH,29608,4744439.0
2026-03-06,DANA,MO,GAH,23647,4737400.0
2026-03-06,DANA,MT,GAH,31057,7127913.0
2026-03-06,LAZADA,MO,GAH,61898,13081699.0
2026-03-06,LAZADA,MT,GAH,69577,16323249.0
2026-03-06,OVO,MO,GAH,76995,16956339.0
2026-03-06,OVO,MT,GAH,18123,3474807.0
2026-03-06,MYXL,MO,GAH,13607,2199661.0
2026-03-06,MYXL,MT,GAH,20717,5020578.0
2026-03-06,INDOSAT_MKT,MO,INS,75715,17138768.0
2026-03-06,INDOSAT_MKT,MT,INS,48898,8176759.0
2026-03-06,MYXL,MO,INS,34877,5331855.0
2026-03-06,MYXL,MT,INS,16187,2787981.0
2026-03-06,LAZADA,MO,INS,22223,4862497.0
2026-03-06,LAZADA,MT,INS,47368,7698930.0
2026-03-06,TOKOPEDIA,MO,INS,16004,3970768.0
2026-03-06,TOKOPEDIA,MT,INS,57647,12629409.0
2026-03-06,SHOPEE,MO,INS,18609,2936008.0
2026-03-06,SHOPEE,MT,INS,77978,17602239.0
2026-03-06,GRAB,MO,INS,10164,1724171.0
2026-03-06,GRAB,MT,INS,9654,2213715.0
2026-03-06,LAZADA,MO,MVN,45166,9790121.0
2026-03-06,LAZADA,MT,MVN,13887,3169528.0
2026-03-06,BANK_BCA,MO,MVN,34374,7175927.0
2026-03-06,BANK_BCA,MT,MVN,31889,5372601.0
2026-03-06,OVO,MO,MVN,53672,8207840.0
2026-03-06,OVO,MT,MVN,33531,7865908.0
2026-03-06,GRAB,MO,MVN,32736,8016364.0
2026-03-06,GRAB,MT,MVN,59316,10986529.0
2026-03-06,GOJEK,MO,MVN,68589,15643794.0
